,id,dateAdded,dateUpdated,name,brand,reviews.date,reviews.dateSeen,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.text,reviews.title,reviews.username
1544,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-06-10T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-03-25T00:00:00Z,2017-03-10T00:00:00Z,2017-06-07T00:00:00Z",1,1,5,just bought. seems to be working great so far. not sure how long it will last.,works great,STRIPYGOOSE
1545,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-06-24T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Good one and working without any issues. Slim and portable,Nice one,Akki
1546,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-07-08T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,"This works well, charges book readers quickly and easily",useful charger,Patrick
1547,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-12-10T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-03-09T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Love it. Best charger I ever bought. Quickly charges my Kindle and my cell phone.,Great charger!,Bryan
1548,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2017-03-15T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z,2017-05-06T00:00:00Z,2017-04-03T00:00:00Z,2017-03-23T00:00:00Z",1,0,5,Have been using this item and it seems to be working quite well.,Great item,Iodine
1549,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-09-02T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,"After purchasing 2 different ""brand X"" charges at a lower cost, and having both of them fail after a couple weeks of use, I purchased this OEM charger (made by Amazon) for our Kindle Fire. Not only does it work well (continuously) but it fully charges the unit in a matter of 2 hours, instead of overnight charging being required. Still works great, and well worth the few dollars extra in price!",Still living up to expectations,Lwm333
1550,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-07-16T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Works great !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Good,Bigboy
1551,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-06-03T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-03-25T00:00:00Z,2017-03-10T00:00:00Z,2017-06-07T00:00:00Z",1,2,5,got this for my kindle 7 tablet . Does an excellent job charging the kindle fire 7 a lot faster than the one it came with the kindle fire,amazon power fast usb charger,diamond
1552,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2017-04-14T00:00:00.000Z,"2017-09-30T00:00:00Z,2017-09-21T00:00:00Z,2017-08-27T00:00:00Z,2017-08-06T00:00:00Z,2017-06-08T00:00:00Z,2017-06-07T00:00:00Z,2017-05-06T00:00:00Z",1,0,5,Love this base for charging my kindle. You still need to use a good cord for most effective charge. With a good cord and this base your kindle will charge in under 30 minutes.,Quickly charges my kindle,Tilreeves
1553,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-10-21T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Exactly what I needed. Didn't want to settle for a generic off brand charger. Thanks to Best Buy I didn't have to.,Spot On!,GodFreeXChoice
1554,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-09-30T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z",1,0,5,Bought this charger for the Kindle voyage and its great.,Fast Charger,LADYD92
1555,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-12-23T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-06-07T00:00:00Z,2017-04-03T00:00:00Z,2017-03-23T00:00:00Z,2017-03-09T00:00:00Z",1,0,5,"Purchased, took home, attached to cable,plugged in. Easy to use. No problems using this charger.",Gets the job done,Scooby123
1556,AVpfIfGA1cnluZ0-emyp,2015-12-09T08:57:06Z,2018-09-21T18:45:23Z,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon,2016-07-03T00:00:00.000Z,"2017-09-21T00:00:00Z,2017-09-15T00:00:00Z,2017-08-27T00:00:00Z,2017-09-04T00:00:00Z,2017-04-03T00:00:00Z,2017-06-07T00:00:00Z",1,0,4,"pretty convenient to have another cable to charge the kindle,, great price and ready to have it on hand",good product,javirod01
3218,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-12-10T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,6,5,"Even when I’m outside in bright sunlight, the words of the book I’m reading are still crystal clear. That alone makes the Kindle Oasis worth what it cost me.The Kindle Oasis wakes up in just seconds, and any book I choose instantly opens, ready to be read.It is the perfect size and isn’t heavy or bulky. I really do read for hours at a time. Sometimes I pace the floor while I read. Sometimes I’m on my elliptical machine when I read. And sometimes I’m sitting down. No matter what I’m doing, the Kindle Oasis remains comfortable to hold, and it is always easy on my eyes.When I receive a book that is in PDF, most of the time I can enlarge the words. If it won’t allow me to enlarge the words, I can change the orientation of the page and the words are automatically larger. I am able to make notes on the book if needed, and I can highlight words and/or passages.My merlot leather cover is attractive. When I flip it open, it is just like opening the cover of a book.How to Make the Battery LastOn the Kindle Oasis page, it says that its “dual-battery charging system delivers months of battery life.” This was a huge thing for me. Instead of having to charge my tablet almost every day, I would be able to read for months without charging the Kindle!Is this how my Oasis has performed? Well, not so much. There are conditions that have to be met for the charge on your Oasis to last for two months.First, you have to limit your reading to thirty minutes a day. That one is impossible for me. There are days that I am only able to read for thirty minutes, but they don’t occur very often. My Kindle goes everywhere with me, and I use just about every spare moment to read.Second, the wireless needs to be turned off. That one is easy to do but not always easy to remember. The only time the wireless needs to be on is to download one or more books.Third, this is based on your light setting at 10. That is way too low for me. I keep my light setting anywhere from 16 to 18.I don’t limit my reading to thirty minutes a day, and I try to remember to keep my wireless turned off. My light setting is kept anywhere from 16 to 18, and I put my Kindle to sleep the second I’m done reading. So how long does a single charge last me? Ten days is the longest a charge has lasted me so far, but it would have kept a charge for several more days if I had remembered to turn my wireless off. Once I succeed in keeping my wireless off, I will let you know how long the charge lasts.Now, I don’t plug it in to charge as soon as the charge on the cover gets low. I allow my cover charge to go as low as it will possibly go and then the Kindle battery will start to drain since it can no longer charge from the cover. I allow it to drain down to about 50% before I plug the cover and Kindle into my computer to charge.The one thing that surprised me was that everything on the Oasis is in black and white. For some reason, I thought that maybe the book covers would appear in color. But since I bought the Oasis to read books on, color isn’t needed.Special offers do appear on my screen but only when my Kindle is going to sleep or waking up. They aren’t a distraction, and to be honest, they are kind of fun to look at. You can pay a higher price so they won’t appear on your Kindle if you would rather not see them.I asked myself some questions once I had my Kindle and knew just how it worked. If I had known before I bought my Kindle Oasis that the charge wouldn’t last for months, would I still have bought it? Yes, I would have. If I had known that everything would appear in black and white, would I still have bought it? Yes, I would have.",Reasons I Love My Kindle Oasis,ljbinion
3226,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-08-05T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,1,5,"The new design, compared to my old kindle paperwhite and voyage, looked weird when I first got my Kindle Oasis. After I used it for a while (5 hours), I felt the design was kind of make sense. When I hold it with one hand (right hand), the centre of gravity position was right in my hand, so there was less change that I drop the kindle on my face(when I was laying on my bed, it happened a lot with my kindle voyage)",decent design,Zigpig
3229,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-12-10T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,4,Easy to handle. Light weight. I like that it automatically shuts off when the cover is closed.,Good reader but expensive,gram
3231,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-06-03T00:00:00.000Z,"2017-07-09T00:00:00Z,2017-07-07T00:00:00Z",1,1,5,The new Kindle is a great gift and fantastic entertainment idea.,Great entertainment,HVAChelp
3233,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-05-27T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,3,5,This is the best kindle ereader yet. The size and weight make it perfect for comfortable reading. You will find yourself reading more books than ever with it.,Best Kindle Yet,RobDrob
3242,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-06-13T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,2,5,Very nice Kindle with a great Battery life. My old kindle was not able to upgrade so I got the new Kindle and very pleased with the product. Arrived as promised from BESTBUY.COM.,Amazing Amazon,NIKE
3244,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-11-25T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,"Wife love it, reads a lot and this is her go to reader.",great product,1244
3256,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-03-09T00:00:00.000Z,"2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-04-26T00:00:00Z,2017-03-30T00:00:00Z,2017-03-15T00:00:00Z,2017-03-10T00:00:00Z,2017-07-07T00:00:00Z",0,1,1,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,Horrible Battery Life,Jus10nHouston
3263,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-01-30T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,Almost feels like reading a book in a light comforting way. Easy to carry around. Great on eyes and reading is enjoyable,Amazon Kindle is awesome,John
3267,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-06-16T00:00:00.000Z,"2017-07-09T00:00:00Z,2017-07-07T00:00:00Z",1,0,4,"This kindle is awesome. I love the design of it. Nothing software wise that was different than my other kindle but the way it's designed makes it much more comfortable and easier to read. The only reason I didn't give it five stars was because of the price. If it were cheaper, this kindle would have been five stars no doubt.",Great kindle,Brandon
3287,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-02-24T00:00:00.000Z,"2017-06-04T00:00:00Z,2017-05-10T00:00:00Z,2017-04-26T00:00:00Z,2017-03-30T00:00:00Z,2017-03-15T00:00:00Z,2017-03-10T00:00:00Z,2017-03-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,"Its a great ereader but a little pricy. It has the same specs as the Voyage as far as pixels and procesor, which costs less. The only difference between this and the Voyage, is that it's much lighter, it's brighter (LEDs), and a longer battery life if you're using the cover. I've noticed the battery life drains much faster without the cover, but you'll still be able to read for hours without it. You would think it be water resistant, hence the name but it isn't. But then I don't plan on reading when it's raining or outside or while taking a bath. Overall, it's the best ereader Amazon currently has to offer but if you don't mind the price tag and want the best, then go for it! Voyage is still not a bad option though",Best Kindle yet,JLT421
3291,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-06-30T00:00:00.000Z,"2017-07-09T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,I like this so much more than the Voyage. The shape makes for easier holding. I only wish this devise was maybe 2 inches taller then it would look like a real book,In love,kcladyz
3292,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2017-04-07T00:00:00.000Z,"2017-07-07T00:00:00Z,2017-06-01T00:00:00Z,2017-05-09T00:00:00Z,2017-05-01T00:00:00Z",1,0,4,"Got me reading again! Love the merlot cover. This one is the smallest of all the kindle products I believe, and that's a big reason I picked. Also the lightest I believe. Battery life is forever.Two negative points are the Amazon logo in the cover, and the fact you can't do inverted text (black background white text).Those 2 points dropped it from 4 to 5 star for me.Still highly recommended.",Excellent product.,drdread
3303,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-05-27T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,5,5,"I have used Kindle e-readers since Amazon introduced them years ago. All are good products and each new model has been a worthwhile upgrade. The Oasis is no exception, even from the highly touted Voyage model. It is expensive but the lightweight design, improved backlighting and battery cover are worth the additional expense for someone who reads frequently. This is definitely a good investment!",The reviews are right-this is the best Kindle ever,rlmgolfer
3304,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-05-28T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,3,5,"I purchased this as a gift for my wife and she loves it. She has an older Kindle, and she can't believe how much better the Oasis is.",Fantastic,grayson41
3306,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-11-18T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-03-21T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,Kindles are an excellent device for all book lovers,A gift for booklovers,tankbuster39
3307,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-04-28T00:00:00.000Z,"2017-03-31T00:00:00Z,2017-03-21T00:00:00Z,2017-03-05T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,16,4,"I got oasis yesterday, very lighweight compared to voyager, screen size comparable, like having actual page turn button, touchscreen seems kinda slow, the on/off button on top is improvement from back of voyager. cover does seem kind of flimsy, but supposed to be leather so will see how it holds up. finding it easier to hold with cover on, then removed. cover doesn't have separate charge port, so all charging is done thru kindle.",Voyager replacement,Bobby
3308,AVqVGZO3nnc1JgDc3jGK,2017-03-03T16:56:05Z,2018-09-21T18:44:32Z,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon,2016-12-07T00:00:00.000Z,"2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z",1,0,5,Bought for my wife to upgrade from the original Kindle that she has worn out. Big step up from the original and should be good for another 8-10 years.,Great E-Reader,Olds442
